7:7663,3820,14146,4849,14787,1117,10492,20955,12157,1432,12158,17239,7822,17111,6773,127,12768,18998,20777,28,1710,8728,11837,6137,12712,5383,9592,7628,8506,663
18:6745,2915,14019,7123,9928,28133,15505,16221,12701,38178,17395,19656,18225,30899,17993,8481,19154,6676,13527,36492,36821,10080,35880,36463,20625,37210,26307,23098,12695,14413
36:1205,3040,6913,2102,2613,12310,530,2194,4605,4224,5027,7790,6486,10710,7038,335,4722,2084,13829,2615,10339,20380,12018,5152,14267,744,4138,2568,4943,12786
37:3018,2894,1914,1560,52,6052,1824,1249,435,5170,1166,2709,170,833,406,8858,2730,6461,4834,2008,351,4874,1640,1112,5231,1261,578,1278,168,929
41:6054,5150,371,1124,1858,3800,161,5156,490,6855,3348,3124,3635,2222,2411,858,292,1337,1043,712,1699,403,2471,1726,3354,6609,2424,4489,1418,2725
42:1183,1558,11459,15529,13585,1499,401,4745,4892,2402,858,10610,3717,292,4759,3182,1471,4380,2323,2257,635,1840,4392,3895,6339,6519,14229,6054,541,6363
43:15665,7496,9839,9202,5535,5203,27470,6744,1437,8824,24986,7356,8620,22277,1786,1508,30829,4810,718,36178,19155,14684,11563,11712,12561,2739,54956,27937,46169,25394
44:1696,991,5675,1413,1260,367,6,106,1925,2032,1598,275,4797,1679,917,364,2039,2290,1169,705,2192,3309,2318,1462,1834,140,65,69,746,927
45:20779,18093,17811,20143,17176,23504,14603,39917,1049,45819,28454,24940,22927,26336,15789,6824,11258,50037,25062,281,28508,12268,40820,19178,39511,4099,37901,56231,25252,10766
46:1667,395,578,4285,991,1413,7962,1749,3438,311,2246,6855,1124,4315,977,1950,371,929,1648,3354,3212,885,3348,5156,401,5294,1043,825,1695,705
59:4236,921,170,1112,885,1124,3636,3124,1612,5150,1754,1950,371,825,4769,4714,1418,1597,2261,1094,7961,1914,1447,7962,2238,1424,9927,490,3771,2999
60:3781,11429,2562,7098,8695,4975,5664,5853,1868,3121,12533,5448,1334,4740,5739,5983,8017,11495,2760,3518,4862,6428,4066,597,6301,4970,7822,5143,3678,11398
69:2318,1322,380,595,367,1003,2954,3438,948,147,942,1696,1276,482,5150,240,2612,91,1167,65,271,1278,5005,140,2132,216,3379,267,9927,311
70:7822,3658,15177,90,19308,8824,9196,597,7469,32303,7360,1630,21840,20955,7243,11300,10218,844,7713,18186,613,6791,39100,24327,11105,15956,13605,17749,14983,7544
94:2132,3018,37,4012,948,52,1560,69,1886,482,1440,435,2068,7598,2869,380,365,1322,216,2053,6052,550,1824,1914,3092,1834,5005,2581,1367,1003
106:2039,1462,2290,311,1648,991,1925,977,3348,575,1950,4797,367,65,540,1413,3438,1440,2461,1260,1937,510,705,1278,3145,490,7962,87,271,1640
115:1699,7962,490,1026,3354,885,1776,3348,2200,3193,11463,7961,6855,614,5156,5150,9927,4593,2130,1094,730,740,545,8065,4745,1227,72,1025,3124,323
116:2181,2918,2109,5583,5220,3227,15834,3560,6195,2330,905,11715,14789,6730,5064,3908,10334,20638,3558,1785,3078,2545,20355,28399,10172,2209,5801,3951,21005,3712
142:1696,856,707,55,750,948,267,1224,1060,1834,1886,1494,380,1462,275,1679,271,2954,2039,3235,311,391,3438,1322,2071,1648,4012,1276,367,65
148:3920,4528,5577,2253,12626,3651,3890,4393,6338,3403,3921,7236,3104,5618,2091,9467,3988,4689,4902,530,1788,2330,3717,204,21464,6160,10240,7135,10217,6407
150:16895,19787,5337,3179,6310,20029,12129,2610,2148,14133,29443,8824,2754,14238,4112,11942,21617,14582,13578,2264,4050,2363,13421,18594,11091,10718,5782,3547,18659,22312
156:7532,1183,2370,1064,3341,22303,7037,161,728,4973,8640,17762,2576,4903,9291,42,5592,110,7482,2125,2035,2261,9111,13273,10226,5111,8301,292,881,3330
161:5156,2411,5353,1655,11463,7962,292,2256,7532,4410,51,309,1130,593,4327,13076,6440,3121,2296,7139,2261,3341,4745,4849,2424,139,6196,5560,280,8095
171:2073,8898,9989,11866,13081,8582,11772,3959,4064,6239,3827,12015,4084,7860,988,2417,5448,9502,857,7098,13070,7916,1137,14926,7136,9662,10227,4066,92,5420
172:8067,3698,11117,402,12997,184,3406,5560,5803,633,1610,12749,2573,6363,9237,11463,53,13295,1783,2948,7136,1277,6518,4327,1244,1007,13113,3674,2258,5353
177:14926,8269,6069,6822,2012,15395,10366,10716,4258,16260,2475,2573,4869,22572,1895,1467,1045,11559,6518,4625,3003,4221,7098,15090,17130,14368,4408,14171,3658,9562
196:7962,2552,371,2431,1599,13556,1418,1337,10470,2150,51,369,4393,648,586,1702,1551,7102,4146,412,6440,1928,730,5273,13904,2296,8065,1503,2125,2073
202:1776,9927,6855,1667,1000,229,578,4304,7532,1133,4902,4393,2552,1796,4714,740,586,3663,3222,3398,1161,490,196,2999,4533,1531,457,2431,1418,2675
